,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
5000,199.85952,-0.48680,-101.92837,-1.04435,229.81459,-121.04640,EBIT/Wh,-0.55901,0.18967,7.66239,1.36591,True,948.33341
5001,199.82039,0.04645,-108.75791,-1.05819,229.74857,-120.76242,EBIT/Wh,-1.56489,-0.95466,13.75383,1.44704,True,944.72298
5002,200.05340,-0.24339,-99.89223,-1.04424,230.00478,-119.94513,Q3,-0.10066,0.34651,8.89765,2.78289,True,950.32088
5003,199.91033,0.12907,-99.20057,-1.04940,229.85580,-121.30877,EBIT/Wh,0.91194,-0.29307,10.60851,-0.43860,True,949.95136
5004,199.29731,0.25130,-95.69703,-1.05121,229.24199,-124.39981,EBIT/Wh,1.47347,1.50487,11.10778,-2.89103,True,948.63806
5005,200.16902,0.26060,-100.01888,-1.04672,230.11665,-121.36160,Q3,0.39715,-0.06551,11.47104,2.55764,True,950.83568
5006,201.00263,0.14625,-100.83666,-1.06842,230.91378,-121.14171,Q3,0.01937,0.10741,10.11036,2.29064,True,954.59480
5007,201.07559,0.66445,-100.75690,-1.05494,231.00997,-121.13047,Q2,-0.09318,0.55204,10.96025,-1.58296,True,954.99948
5008,200.27363,0.67992,-100.80034,-1.05762,230.20821,-119.07666,Q3,2.81016,0.25271,8.79484,-3.63624,True,950.96796
5009,199.65973,0.39319,-102.47877,-1.05513,229.59712,-121.55866,EBIT/Wh,1.52229,-2.58381,15.85464,-5.29674,True,947.05928
5010,199.78871,0.47939,-101.31099,-1.06304,229.70767,-122.46427,EBIT/Wh,-0.15393,1.03674,12.99447,2.04150,True,948.28805
5011,200.42227,-0.13143,-101.55412,-1.06565,230.34206,-120.45945,Q3,0.56182,0.05996,13.38529,2.39824,True,951.33427
5012,198.60207,-0.73243,-103.78724,-1.07041,228.50972,-119.29856,AI,-0.02635,0.08567,11.43225,-1.54951,True,941.11671
5013,197.49420,-0.18261,-97.25919,-1.04758,227.44348,-120.71528,AI,1.37695,-3.24431,11.30608,-1.34907,True,938.84142
5014,200.28956,0.62868,-95.26057,-1.04621,230.24041,-122.25451,Q3,2.21408,0.81280,10.23118,-2.90398,True,953.81752
5015,201.41571,-1.23256,-99.59290,-1.05388,231.34965,-124.09771,Q2,0.96983,-0.19869,12.15052,-0.31741,True,957.28212
5016,199.25371,-1.27463,-100.49901,-1.04771,229.20340,-121.38784,EBIT/Wh,-0.09843,-1.82336,8.87049,0.29693,True,946.01907
5017,199.81545,0.99273,-101.17447,-1.05016,229.76024,-122.08906,EBIT/Wh,0.99182,-1.56159,10.85236,-2.71612,True,948.49004
5018,199.02423,0.14983,-105.99251,-1.05271,228.96534,-120.29957,EBIT/Wh,1.90467,0.46865,9.30553,-1.40888,True,942.12489
5019,199.63250,-0.77621,-101.13445,-1.04979,229.57837,-121.61812,EBIT/Wh,-0.46280,1.29598,11.79037,-1.42010,True,947.59527
5020,198.91046,-0.78523,-100.57661,-1.06174,228.83280,-121.24607,AI,-1.43928,-3.88890,8.14971,-2.58231,True,944.26399
5021,201.12118,0.83733,-105.30186,-1.05208,231.06266,-122.41351,Q2,-0.38676,1.67001,12.04139,-4.29241,True,952.95496
5022,200.11168,-0.87665,-103.74473,-1.04484,230.06429,-120.04115,Q3,1.80679,-2.48704,10.82489,-4.01829,True,948.68603
5023,199.58573,0.38407,-101.04581,-1.05111,229.52988,-120.68690,EBIT/Wh,-0.48868,-1.55435,7.22334,3.17178,True,947.40575
5024,199.50445,-0.25745,-100.80435,-1.05584,229.43947,-121.04768,EBIT/Wh,0.78601,0.18442,11.72237,-0.90899,True,947.12007
5025,200.94106,-0.31796,-101.85185,-1.05903,230.87057,-121.86730,Q3,0.00774,-1.35843,11.03334,-1.16060,True,953.77936
5026,199.76565,0.20415,-106.05941,-1.04348,229.72155,-119.73448,EBIT/Wh,-0.45702,0.23329,12.39463,-5.07769,True,945.79854
5027,198.70479,0.43259,-98.56354,-1.05909,228.63070,-121.49475,AI,-3.19930,-1.11668,4.43604,6.66680,True,944.24216
5028,199.54384,-0.38791,-98.05769,-1.06554,229.45881,-122.34170,EBIT/Wh,0.22823,0.94092,9.60396,5.46518,True,948.69034
5029,199.56720,0.33991,-104.70638,-1.05096,229.51167,-119.20072,EBIT/Wh,1.48225,0.43158,12.33494,-3.48149,True,945.48280
5030,199.26463,-0.63352,-97.08608,-1.05278,229.20421,-117.70102,EBIT/Wh,-0.59616,-0.22546,8.03030,-1.37935,True,947.78009
5031,201.14956,-0.38866,-102.58908,-1.05880,231.07512,-122.81335,Q2,0.32666,1.08121,9.58042,4.92477,True,954.45324
5032,198.23059,0.57897,-101.56276,-1.05721,228.16106,-117.93366,AI,0.38723,1.35326,12.05573,2.33773,True,940.37157
5033,200.19302,-0.61350,-102.68807,-1.04535,230.14154,-120.56520,Q3,0.23820,0.46340,12.32766,4.61764,True,949.62105
5034,198.65029,1.03078,-97.78833,-1.05955,228.57660,-121.33406,AI,-1.24928,-0.31602,6.94364,-4.47771,True,944.35727
5035,198.78332,0.05348,-101.37190,-1.05326,228.71973,-118.57242,AI,0.69894,-0.53201,9.64443,3.11258,True,943.23067
5036,200.38556,-0.29518,-101.36721,-1.05692,230.31955,-120.11090,Q3,-0.37836,2.62473,10.81124,-5.91571,True,951.24418
5037,200.16288,0.62850,-99.64059,-1.05537,230.09485,-121.78330,Q3,0.16118,-0.05790,11.25025,6.53751,True,950.99412
5038,200.99959,1.02407,-100.82744,-1.05255,230.93569,-120.39352,Q3,-1.24163,0.49155,9.94446,-1.92968,True,954.58423
5039,199.39134,0.52338,-100.10334,-1.05680,229.32185,-121.18894,EBIT/Wh,0.22408,-1.13019,15.51600,2.44649,True,946.90503
5040,199.93669,-0.77593,-99.46974,-1.05566,229.87149,-118.91172,EBIT/Wh,1.04265,0.41366,17.36179,4.18066,True,949.94860
5041,203.04493,0.14465,-102.15375,-1.05923,232.97114,-125.32604,Q1,-2.20923,-2.05117,12.87687,-0.70915,True,964.14776
5042,201.14513,-0.99316,-99.92381,-1.05248,231.08296,-122.11131,Q2,0.14217,-0.82292,8.62605,2.99621,True,955.76373
5043,200.59978,-0.43601,-100.82967,-1.04843,230.54865,-120.07562,Q3,0.22407,-1.60435,10.28580,-2.23378,True,952.58406
5044,199.61568,-0.58917,-101.82777,-1.06912,229.52704,-121.53220,EBIT/Wh,0.47175,0.92871,7.22802,-1.16612,True,947.16450
5045,199.75498,-0.75896,-100.03207,-1.05932,229.68335,-121.04924,EBIT/Wh,0.63706,0.60240,13.70337,-0.31224,True,948.75886
5046,199.17006,-0.65109,-103.28342,-1.06193,229.09411,-123.44090,EBIT/Wh,-0.20323,0.42896,12.26328,3.34543,True,944.20858
5047,200.78891,-0.24772,-97.31865,-1.04523,230.73555,-121.55529,Q3,-0.21326,-0.47767,9.18653,-3.47429,True,955.28523
5048,199.51850,-0.32460,-98.62295,-1.04972,229.46505,-118.20318,EBIT/Wh,-0.46938,0.07156,12.36432,0.79098,True,948.28101
5049,200.96675,-0.58878,-94.31645,-1.05491,230.90386,-124.10499,Q3,0.28722,0.34859,13.30152,-8.08715,True,957.67551
5050,199.19522,0.00710,-100.53379,-1.05393,229.13608,-117.53805,EBIT/Wh,-2.16431,0.27531,15.96116,0.19882,True,945.70922
5051,200.14713,-1.35088,-104.78559,-1.04631,230.09268,-123.21036,Q3,-0.23969,-0.63943,12.47785,3.18568,True,948.34286
5052,200.18298,-0.27809,-97.50663,-1.05346,230.12362,-120.32133,Q3,2.05112,-1.96888,11.26967,-1.99165,True,952.16158
5053,197.25921,0.46047,-95.47757,-1.04682,227.20912,-119.13917,AI,-0.17052,-0.05192,15.10991,-1.46994,True,938.55727
5054,200.03161,0.11022,-99.93529,-1.05544,229.96777,-124.28203,Q3,2.70231,-0.29242,8.62550,-1.45182,True,950.19041
5055,200.53343,-0.13550,-99.81782,-1.04767,230.48166,-119.59777,Q3,-1.34328,1.37862,10.21591,-3.63533,True,952.75826
5056,198.36916,0.07520,-95.68801,-1.04944,228.31757,-118.33931,AI,-1.61040,-1.84673,10.50190,-1.99763,True,944.00178
5057,200.71792,-0.17558,-105.53907,-1.05904,230.64401,-124.89036,Q3,0.74099,-0.39174,10.56836,-0.05984,True,950.82007
5058,199.44134,-1.00698,-96.55549,-1.05118,229.38270,-121.96489,EBIT/Wh,-1.02447,0.29011,6.97390,1.65379,True,948.92894
5059,199.39160,-0.47725,-102.58121,-1.04535,229.34371,-120.21625,EBIT/Wh,-0.41616,-1.74096,15.36669,-1.56401,True,945.66741
