,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0,Tesla,198.87357,-1.56416,-105.28502,-1.05843,228.80634,-119.57104,AI,-0.52242,-1.45859,11.59522,-0.96454,True,941.72532
1,Tesla,199.52698,0.54804,-97.07504,-1.04948,229.47260,-120.75295,EBIT/Wh,1.60107,-1.91971,7.66421,-3.49630,True,949.09736
2,SpaceX,201.17314,-0.22721,-98.97896,-1.07013,231.08207,-122.64781,Q2,0.60019,-0.19340,10.53295,-4.81560,True,956.37621
3,Tesla,200.14047,0.01896,-108.08573,-1.04395,230.09569,-120.48585,Q3,-1.25252,1.36110,15.50931,-1.59705,True,946.65947
4,TwitterX,199.80402,-0.93272,-104.79682,-1.05184,229.74889,-121.84848,EBIT/Wh,1.48921,-1.35437,11.07695,-0.67000,True,946.62167
5,SpaceX,197.03523,-0.44686,-102.65655,-1.06699,226.95014,-116.80310,AI,0.71961,-0.99640,8.75320,2.63452,True,933.84789
6,TwitterX,199.75788,-0.47972,-106.71239,-1.04952,229.70523,-120.35919,EBIT/Wh,-0.13613,-1.71160,12.20907,0.42560,True,945.43321
7,TwitterX,201.85083,0.03610,-103.14473,-1.06211,231.77226,-124.24883,Q2,-0.66425,-0.19503,8.93126,-2.19506,True,957.68178
8,Tesla,200.68861,-0.61455,-95.58682,-1.05274,230.63011,-123.29745,Q3,1.45156,0.48695,9.99298,-3.96038,True,955.64962
9,SpaceX,200.26770,0.02537,-97.20791,-1.04578,230.21669,-119.02283,Q3,0.55479,-0.26336,10.32527,1.58976,True,952.73456
10,SpaceX,199.19452,0.59271,-100.71177,-1.06790,229.10611,-121.12314,EBIT/Wh,-0.42686,0.50046,9.50416,0.14119,True,945.61670
11,TwitterX,199.68381,1.02371,-100.04080,-1.05056,229.62839,-122.09661,EBIT/Wh,-4.10900,-1.23749,11.11264,-0.17611,True,948.39866
12,SpaceX,199.90425,0.32670,-99.53264,-1.04420,229.85589,-117.89245,EBIT/Wh,0.51639,-0.18500,8.22697,-0.30662,True,949.75495
13,TwitterX,200.29861,0.82430,-103.29737,-1.05637,230.23490,-122.19346,Q3,-3.24283,-0.01757,10.17871,-1.83622,True,949.84437
14,Tesla,199.31829,-0.30959,-99.01498,-1.05042,229.26219,-119.77601,EBIT/Wh,-1.89405,2.70933,9.23026,-5.51141,True,947.08396
15,Tesla,200.25429,-0.29457,-98.16923,-1.05262,230.19464,-122.72402,Q3,-0.32866,-0.38341,8.98725,-4.38505,True,952.18685
16,SpaceX,200.25860,0.17180,-105.64791,-1.04739,230.20489,-122.17814,Q3,-0.18714,1.79037,8.88032,1.87185,True,948.46906
17,SpaceX,201.72623,1.11926,-100.03354,-1.06240,231.64696,-124.43028,Q2,-0.87861,0.37690,13.31192,0.18535,True,958.61440
18,Tesla,201.09884,-0.05196,-99.28749,-1.05499,231.03622,-122.80155,Q2,-1.87813,-0.54124,10.61305,-2.39936,True,955.85045
19,SpaceX,201.54464,0.34359,-99.23659,-1.06066,231.47147,-121.70157,Q2,0.73467,-0.75168,10.47451,4.32133,True,958.10488
20,SpaceX,199.41659,1.18475,-97.71109,-1.05232,229.35277,-119.74905,EBIT/Wh,1.24677,-0.32433,9.62392,-0.58293,True,948.22741
21,Tesla,200.38181,1.33356,-96.75181,-1.05351,230.32223,-122.34587,Q3,-0.39552,0.85532,10.39133,1.59165,True,953.53315
22,SpaceX,200.43401,0.33619,-97.66042,-1.04854,230.37658,-119.21014,Q3,-0.22296,1.12822,14.87221,-1.47708,True,953.33983
23,SpaceX,198.54220,-0.09135,-98.22884,-1.04516,228.48954,-123.06167,AI,-1.53030,0.77857,9.86768,-2.16127,True,943.59657
24,Tesla,200.36580,-0.03357,-102.13922,-1.05572,230.30319,-118.59022,Q3,-0.45575,-0.65707,7.36565,1.56051,True,950.75938
25,TwitterX,199.28057,-0.07071,-100.99828,-1.05627,229.21788,-118.49150,EBIT/Wh,-1.49898,0.42185,10.08722,-1.69587,True,945.90371
26,TwitterX,199.34977,-0.88427,-96.83414,-1.05350,229.28641,-120.85491,EBIT/Wh,-0.48090,-1.15148,10.17125,-5.50074,True,948.33176
27,TwitterX,201.49767,0.20724,-101.40132,-1.05369,231.43976,-124.64468,Q2,-2.14904,-1.48233,5.35667,-2.13626,True,956.78768
28,TwitterX,200.54056,0.64152,-104.02592,-1.05775,230.46921,-123.00572,Q3,1.71809,0.90150,7.97282,0.77122,True,950.68983
29,Tesla,199.51009,0.39413,-97.22878,-1.04797,229.45866,-118.72810,EBIT/Wh,-0.32003,-0.01731,12.50824,-2.53534,True,948.93605
30,Tesla,200.37796,-0.23911,-102.98729,-1.04879,230.32631,-120.79374,Q3,1.88714,0.05393,11.04816,-1.89783,True,950.39618
31,SpaceX,201.74419,0.47079,-103.56777,-1.05001,231.68392,-122.91467,Q2,0.74539,0.11500,11.27506,5.55651,True,956.93708
32,TwitterX,198.86073,-0.41071,-98.16194,-1.05466,228.79718,-120.25470,AI,-0.14651,-1.45202,3.73963,2.75680,True,945.22266
33,TwitterX,200.88033,0.76133,-102.29201,-1.05513,230.82088,-120.43776,Q3,-0.84743,-1.94845,10.02542,-4.07017,True,953.25563
34,Tesla,200.88402,-0.48340,-100.90873,-1.04075,230.84295,-122.33191,Q3,0.65264,-1.62264,13.00100,-2.60929,True,953.96571
35,Tesla,200.40773,-0.52020,-94.75354,-1.04761,230.35730,-121.98855,Q3,-2.91044,1.73124,11.60024,-11.23297,True,954.66185
36,TwitterX,201.08371,-1.13468,-96.69862,-1.05796,231.01559,-120.31793,Q2,-0.29950,1.11279,14.36134,-1.24873,True,957.06925
37,Tesla,200.14657,0.13346,-99.87766,-1.05098,230.08959,-120.48500,Q3,-0.74682,1.97086,12.43218,-4.34065,True,950.79400
38,Tesla,201.43171,-0.54700,-97.19051,-1.04504,231.38456,-123.82830,Q2,1.19512,-2.09873,8.90630,-2.11963,True,958.56331
39,SpaceX,199.32487,-0.53987,-97.20367,-1.05488,229.25989,-119.00029,EBIT/Wh,0.28891,-0.06885,13.00067,2.37812,True,948.02249
40,TwitterX,199.19101,-0.10554,-99.03258,-1.04968,229.13856,-120.78306,EBIT/Wh,-1.06368,-1.23459,9.31097,1.13173,True,946.43877
41,Tesla,200.64216,-0.60118,-95.52726,-1.04764,230.59104,-121.37320,Q3,-0.29168,-1.13156,11.79083,-4.56601,True,955.44719
42,Tesla,200.01981,-0.25555,-96.64733,-1.04013,229.98153,-118.56235,Q3,0.91983,0.99104,15.26228,-5.47590,True,951.77536
43,TwitterX,201.07763,2.11421,-103.72056,-1.04800,231.02893,-121.39287,Q2,-0.08170,0.67971,10.47334,0.41918,True,953.52787
44,TwitterX,199.79839,0.40634,-100.87665,-1.05596,229.73494,-123.49520,EBIT/Wh,0.96648,1.64334,11.40634,3.80017,True,948.55361
45,Tesla,198.48696,-0.04382,-93.16905,-1.04490,228.44037,-117.13761,AI,-1.19387,1.92780,10.76237,-9.51362,True,945.85027
46,Tesla,201.20903,0.50427,-99.95983,-1.04344,231.16438,-123.29535,Q2,0.61082,-0.96741,15.64578,-1.00709,True,956.06522
47,TwitterX,200.06697,0.96197,-98.69758,-1.05122,230.00886,-122.68766,Q3,1.00936,-0.42650,10.68310,-8.20412,True,950.98604
48,Tesla,198.73017,-0.91198,-97.97472,-1.05240,228.67187,-119.42207,AI,1.96864,-0.40822,6.51918,0.67847,True,944.66350
49,TwitterX,199.38937,-0.04417,-95.59953,-1.05897,229.31657,-121.50912,EBIT/Wh,-0.27131,-0.09283,10.11727,4.19411,True,949.14706
50,Tesla,200.44565,-0.57958,-94.95108,-1.03983,230.40738,-119.16663,Q3,-0.76785,-0.24602,9.87723,0.68763,True,954.75271
51,Tesla,201.40209,0.72972,-102.61176,-1.05139,231.34592,-119.97332,Q2,-3.04114,2.79498,7.78277,-0.94684,True,955.70459
52,Tesla,200.27259,-1.19574,-91.42748,-1.04085,230.23142,-121.12786,Q3,-2.75357,2.50977,9.99025,-5.74669,True,955.64921
53,SpaceX,199.14500,0.63588,-101.41778,-1.05030,229.08524,-119.39422,EBIT/Wh,1.22950,0.89320,9.94565,-0.66585,True,945.01609
54,Tesla,199.94979,-0.27342,-101.11860,-1.04580,229.90262,-119.44097,EBIT/Wh,-2.02788,-0.65739,10.13728,1.34033,True,949.18963
55,SpaceX,198.46993,0.00443,-101.52151,-1.06222,228.39195,-121.39043,AI,1.25098,-0.23558,12.39125,-0.64647,True,941.58888
56,SpaceX,199.77521,-0.36990,-94.07104,-1.05599,229.70987,-120.61330,EBIT/Wh,0.31187,-1.03683,7.89786,0.26568,True,951.84052
57,SpaceX,200.84808,-1.28068,-94.17304,-1.05711,230.77702,-122.49263,Q3,0.86393,0.33294,13.28547,-5.99384,True,957.15390
58,Tesla,200.69810,-0.74376,-102.16382,-1.04433,230.65185,-122.37459,Q3,-0.16751,0.89276,14.42808,-0.79294,True,952.40858
59,SpaceX,199.20400,-0.38003,-102.85292,-1.06268,229.12805,-120.51882,EBIT/Wh,-0.23685,0.56134,10.92976,3.27511,True,944.59353
60,SpaceX,198.98640,-0.91890,-102.05501,-1.04402,228.93981,-117.95386,EBIT/Wh,-0.32669,-0.72018,5.05414,2.11728,True,943.90450
61,Tesla,199.11466,-0.55798,-98.76569,-1.05812,229.04819,-118.67618,EBIT/Wh,0.52288,-0.08356,11.05856,-2.25803,True,946.19047
62,Tesla,199.40465,1.85031,-97.68047,-1.04364,229.35991,-121.39310,EBIT/Wh,-0.59611,-0.40950,6.24425,-0.61281,True,948.18301
63,Tesla,199.35081,-0.26545,-96.37974,-1.04892,229.29691,-119.87674,EBIT/Wh,-0.60731,0.00084,14.02851,-1.21134,True,948.56417
64,TwitterX,200.29585,0.45993,-100.93927,-1.05964,230.22249,-121.27980,Q3,1.23860,-0.47530,10.31012,2.32792,True,951.00961
65,TwitterX,200.43945,1.19287,-103.83416,-1.05766,230.37300,-121.78187,Q3,-1.04980,-1.35133,10.47965,-4.34859,True,950.28016
66,Tesla,199.67522,0.19610,-93.54263,-1.04811,229.62261,-123.29466,EBIT/Wh,-0.53934,1.82618,11.77941,-2.07107,True,951.60477
67,TwitterX,200.43606,-1.77816,-104.30734,-1.05749,230.36775,-120.73941,Q3,0.66378,-2.11740,15.33675,-0.80330,True,950.02663
68,SpaceX,200.50606,0.08387,-99.11580,-1.04360,230.46017,-122.80490,Q3,-0.49526,-0.65126,12.83657,-4.69729,True,952.97242
69,TwitterX,199.66967,0.49208,-95.41237,-1.05486,229.60413,-119.37067,EBIT/Wh,-2.37417,-2.42444,12.50407,1.91665,True,950.64214
70,Tesla,199.40092,-0.14054,-105.75789,-1.05612,229.33586,-119.66108,EBIT/Wh,0.43320,0.19348,16.80540,-10.28770,True,944.12566
71,TwitterX,200.58361,0.82920,-98.87186,-1.05942,230.51112,-118.86582,Q3,0.63035,1.71520,9.61872,-1.55678,True,953.48214
72,Tesla,200.86584,0.27217,-101.74838,-1.04263,230.82370,-118.77488,Q3,1.78782,-1.19659,16.27927,0.63523,True,953.45501
73,SpaceX,199.36989,1.01893,-101.82489,-1.04779,229.31436,-123.92187,EBIT/Wh,0.10510,0.23166,5.53443,2.99714,True,945.93700
74,Tesla,201.64765,-0.17226,-101.61472,-1.05848,231.58004,-122.25609,Q2,0.83447,-2.10777,13.09303,-4.90020,True,957.43090
75,SpaceX,199.49743,-0.95831,-104.79193,-1.06217,229.41799,-119.69064,EBIT/Wh,0.66932,0.73440,13.12084,5.86541,True,945.09117
76,Tesla,200.52993,-1.31415,-98.18994,-1.05297,230.47061,-119.08405,Q3,1.24119,0.73142,9.21355,-1.27990,True,953.55466
77,SpaceX,197.51133,0.03738,-101.81583,-1.06451,227.42896,-115.74901,AI,-0.27132,0.26786,10.49968,1.18936,True,936.64875
78,SpaceX,199.95303,0.50758,-96.88988,-1.06513,229.87028,-122.42487,EBIT/Wh,-1.48877,0.71482,15.07528,5.75780,True,951.32021
79,Tesla,201.08296,-0.36219,-104.38691,-1.05775,231.01539,-122.61568,Q2,-0.42535,-0.88884,9.83635,-0.46245,True,953.22133
80,TwitterX,200.48372,-0.23181,-101.59649,-1.05952,230.41217,-121.74990,Q3,0.24993,2.24118,10.45774,4.04580,True,951.62034
81,Tesla,198.97107,-0.75734,-96.75607,-1.04126,228.92962,-116.22659,AI,0.21311,-0.47651,11.10872,-0.06905,True,946.47731
82,SpaceX,199.04248,0.38530,-100.58185,-1.04331,228.99449,-118.97351,EBIT/Wh,0.06844,0.34308,12.66183,1.25823,True,944.92146
83,Tesla,200.70463,-0.31815,-93.80420,-1.05515,230.64267,-122.01693,Q3,-1.85509,2.76803,12.70148,-7.59642,True,956.62105
84,SpaceX,200.21820,-0.26093,-98.98382,-1.06343,230.13789,-119.69955,Q3,-0.48077,-1.48850,13.87707,0.88053,True,951.59910
85,Tesla,200.08229,-1.56021,-99.07664,-1.04698,230.03250,-122.49710,Q3,1.16122,0.55350,9.15782,-1.65610,True,950.87315
86,SpaceX,201.24961,0.82885,-104.08527,-1.05946,231.17527,-121.20639,Q2,-0.29830,-0.28762,9.24918,-0.49337,True,954.20543
87,Tesla,199.46111,-0.17521,-100.81987,-1.04944,229.40794,-119.84663,EBIT/Wh,1.13334,2.34823,14.09203,-1.83303,True,946.89564
88,Tesla,201.08845,-0.39551,-96.79186,-1.05577,231.02489,-123.04136,Q2,1.14031,-1.15014,9.77014,-0.49007,True,957.04633
89,TwitterX,198.53055,-0.63104,-95.72245,-1.05842,228.46080,-119.72150,AI,2.11702,1.97211,6.30018,-2.43426,True,944.79151
90,TwitterX,199.79705,-0.41424,-98.23993,-1.05683,229.73427,-121.94410,EBIT/Wh,2.23691,1.98611,14.83134,-2.13671,True,949.86530
91,Tesla,200.21786,0.89471,-97.27251,-1.04031,230.17822,-123.62831,Q3,0.31543,-1.77227,10.82199,-2.79459,True,952.45303
92,Tesla,200.91803,0.77870,-102.87371,-1.05237,230.85993,-122.85582,Q3,-0.81559,-0.56556,13.87388,-2.44825,True,953.15330
93,TwitterX,200.63108,0.72536,-96.84791,-1.06106,230.55520,-119.42308,Q3,-1.81182,-0.25828,12.71154,-1.10814,True,954.73145
